,Time,Station,Temperature
550,1965-02-01,MCMURDO,-2.4
551,1965-03-01,AMUNDSEN-SCOT,-39.3
552,1965-03-01,HALLEY,-11.4
553,1965-03-01,ROTHERA POINT,3.2
554,1965-03-01,NOVOLAZAREVSK,-3.2
555,1965-03-01,MOLODEZNAJA,-3.5
556,1965-03-01,VOSTOK,-43.1
557,1965-03-01,MCMURDO,-6.7
558,1965-04-01,AMUNDSEN-SCOT,-51.2
559,1965-04-01,HALLEY,-18.6
560,1965-04-01,ROTHERA POINT,3.7
561,1965-04-01,NOVOLAZAREVSK,-8.0
562,1965-04-01,MOLODEZNAJA,-8.7
563,1965-04-01,VOSTOK,-58.8
564,1965-04-01,MCMURDO,-20.0
565,1965-05-01,AMUNDSEN-SCOT,-56.8
566,1965-05-01,HALLEY,-23.8
567,1965-05-01,ROTHERA POINT,-0.7
568,1965-05-01,NOVOLAZAREVSK,-11.1
569,1965-05-01,MOLODEZNAJA,-9.8
570,1965-05-01,VOSTOK,-65.8
571,1965-05-01,MCMURDO,-19.2
572,1965-06-01,AMUNDSEN-SCOT,-55.5
573,1965-06-01,HALLEY,-18.1
574,1965-06-01,ROTHERA POINT,-1.4
575,1965-06-01,NOVOLAZAREVSK,-10.8
576,1965-06-01,MOLODEZNAJA,-11.2
577,1965-06-01,VOSTOK,-64.3
578,1965-06-01,MCMURDO,-29.1
579,1965-07-01,AMUNDSEN-SCOT,-51.8
580,1965-07-01,HALLEY,-28.0
581,1965-07-01,ROTHERA POINT,-4.9
582,1965-07-01,NOVOLAZAREVSK,-13.6
583,1965-07-01,MOLODEZNAJA,-15.4
584,1965-07-01,VOSTOK,-66.7
585,1965-07-01,MCMURDO,-27.9
586,1965-08-01,AMUNDSEN-SCOT,-63.5
587,1965-08-01,HALLEY,-28.8
588,1965-08-01,ROTHERA POINT,-10.5
589,1965-08-01,NOVOLAZAREVSK,-20.8
590,1965-08-01,MOLODEZNAJA,-22.8
591,1965-08-01,VOSTOK,-69.2
592,1965-08-01,MCMURDO,-22.3
593,1965-09-01,AMUNDSEN-SCOT,-56.3
594,1965-09-01,HALLEY,-31.2
595,1965-09-01,ROTHERA POINT,-9.5
596,1965-09-01,NOVOLAZAREVSK,-18.9
597,1965-09-01,MOLODEZNAJA,-19.0
598,1965-09-01,VOSTOK,-66.1
599,1965-09-01,MCMURDO,-24.2
600,1965-10-01,AMUNDSEN-SCOT,-62.5
601,1965-10-01,HALLEY,-27.2
602,1965-10-01,ROTHERA POINT,-3.3
